TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,TOTFZ,MEANPOT,EPSZ,MEANSHR,SHRGT45,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZH,TOTFY,MEANJZD,MEANALP,TOTFX,EPSY,EPSX,R_VALUE,FLARE_CLASS
5.551838988537837e-10,0.202472097929859,1.0578558862217589e-11,0.3329941101300232,3.144706717250756e-13,0.2869244266328034,0.2051936502869042,4.335809489219855e-12,0.1425246691402057,5.89808757389676e-12,0.5313236442734889,4.24853208169651e-12,4.216731130934903e-13,3.410560722727496e-11,1.4673262604958381e-12,1.0355050150678837e-12,6.881856196017111e-13,0.2944506119664422,0.4330966744172927,6.396772000982765e-12,0.4353773284908282,0.2666280669440499,1.1054164528179198e-11,0.2157969362781081,3.0
5.554152693321156e-10,0.202472097929581,1.0578558862217589e-11,0.3329941101300337,3.0399294193017573e-13,0.286924426632803,0.205193650286912,4.243584650343024e-12,0.1425246691401964,5.894507104642344e-12,0.5313236442734908,4.241731965670681e-12,4.42191422367344e-13,3.416505967024364e-11,1.4858669850070785e-12,1.0209055822940629e-12,6.916689443414725e-13,0.2944506119664328,0.4330966744172387,6.406208896692078e-12,0.4353773284908822,0.2666280669440246,1.1094947877099416e-11,0.2157969362780857,3.0
5.555182980288008e-10,0.2024720979292989,1.057145343485999e-11,0.3329941101300442,3.0399294193017573e-13,0.2869244266328037,0.2051936502869022,4.050235841157601e-12,0.1425246691401796,5.866196417514402e-12,0.5313236442734928,4.230407690819504e-12,4.811775977664469e-13,3.416505967024364e-11,1.5137335829251697e-12,1.016020600985712e-12,6.916689443414725e-13,0.2944506119664234,0.4330966744172331,6.396772000982765e-12,0.4353773284909284,0.2666280669440022,1.1113299516751772e-11,0.2157969362780764,3.0
5.556466398104476e-10,0.2024720979289851,1.0578558862217589e-11,0.3329941101300529,3.013631011405949e-13,0.2869244266328034,0.2051936502869022,3.865782693956987e-12,0.1425246691401609,5.848460604696015e-12,0.531323644273494,4.212255544366883e-12,5.150324611236101e-13,3.416827931701505e-11,1.5276113707329841e-12,1.0111356196773613e-12,6.951245135056183e-13,0.2944506119664218,0.4330966744172275,6.396772000982765e-12,0.4353773284909883,0.266628066943987,1.1166317870348053e-11,0.2157969362780707,3.0
5.559805948962547e-10,0.2024720979286798,1.058802351350252e-11,0.3329941101300578,2.987471381388218e-13,0.2869244266328034,0.2051936502869003,3.770223716559329e-12,0.1425246691401432,5.827227589350059e-12,0.531323644273496,4.197531211502792e-12,5.293959715046981e-13,3.416827931701505e-11,1.532329818587641e-12,1.0111356196773613e-12,6.951245135056183e-13,0.2944506119664172,0.4330966744172094,6.396772000982765e-12,0.4353773284910648,0.2666280669439654,1.1221374524028604e-11,0.215796936278067,3.0
5.566751504204602e-10,0.2024720979283534,1.0606966693860189e-11,0.3329941101300646,2.882694083439219e-13,0.2869244266327962,0.2051936502868904,3.653549685012081e-12,0.142524669140133,5.816597203889273e-12,0.5313236442734972,4.175992884825064e-12,5.396551261416249e-13,3.416827931701505e-11,1.5369372441398357e-12,1.0111356196773613e-12,6.951245135056183e-13,0.2944506119664172,0.4330966744171993,6.396772000982765e-12,0.4353773284911346,0.2666280669439423,1.1276431177709156e-11,0.2157969362780633,3.0
5.574971595478927e-10,0.2024720979280818,1.0609339795575323e-11,0.3329941101300671,2.725458747576681e-13,0.2869244266327974,0.2051936502868688,3.4879842070179023e-12,0.1425246691401302,5.8130722457860876e-12,0.5313236442734979,4.1646547321860786e-12,5.642812606065918e-13,3.416505967024364e-11,1.5462631175466868e-12,9.91706716746421e-13,6.951245135056183e-13,0.2944506119664141,0.433096674417169,6.406208896692078e-12,0.4353773284911886,0.2666280669439336,1.1309057856845328e-11,0.2157969362780595,3.0
5.586540119395521e-10,0.2024720979277996,1.0647205339608943e-11,0.3329941101300646,2.6992297286199123e-13,0.2869244266328021,0.2051936502868669,3.360197536883547e-12,0.1425246691401311,5.802441860325303e-12,0.5313236442734979,4.158978716972683e-12,5.806986835832362e-13,3.4184766128930726e-11,1.5555334798023068e-12,9.430789482678392e-13,6.951245135056183e-13,0.2944506119664172,0.433096674417178,6.406208896692078e-12,0.4353773284912455,0.2666280669439069,1.1402857824638346e-11,0.2157969362780595,3.0
5.633329358545325e-10,0.2024720979273827,1.0692183249894072e-11,0.3329941101300214,2.6730007096631425e-13,0.2869244266328163,0.2051936502868295,3.260194197940436e-12,0.1425246691401348,5.7953364329677015e-12,0.5313236442734972,4.152178600946854e-12,5.858230567312718e-13,3.423761274490289e-11,1.434796725874321e-12,8.799072581666678e-13,6.951245135056183e-13,0.2944506119664156,0.4330966744172038,6.406208896692078e-12,0.4353773284913546,0.2666280669438723,1.1504814462215409e-11,0.2157969362780614,3.0
5.646696443761812e-10,0.2024720979271447,1.0713478715285165e-11,0.3329941101300214,2.725458747576681e-13,0.286924426632818,0.2051936502868295,3.1724102511621055e-12,0.1425246691401348,5.7953364329677015e-12,0.5313236442734972,4.138578368895196e-12,5.991630802615333e-13,3.4296954165569105e-11,1.4486745136821357e-12,8.945066909404886e-13,6.951245135056183e-13,0.2944506119664093,0.4330966744172083,6.396772000982765e-12,0.435377328491437,0.2666280669438629,1.153540110654383e-11,0.2157969362780876,3.0
