Feature,Score
EPSX,138.20248825900953
MEANJZH,111.99683975726126
SHRGT45,78.5535289082648
ABSNJZH,29.152565634177286
MEANGBZ,22.304676996310683
MEANGBH,22.304676996143417
TOTPOT,22.304676995115308
MEANALP,22.304676993723977
EPSZ,22.304676992416645
MEANGBT,22.304676980724427
TOTUSJH,22.304676350655075
USFLUX,21.483521790520555
TOTFZ,12.111439831740276
MEANGAM,11.24821057655536
TOTBSQ,6.540211285249036
TOTFY,3.4431870528098454
TOTFX,2.1796226853064518
EPSY,1.897729387060099
R_VALUE,1.6852420987001442
MEANPOT,1.3219891120576812
TOTUSJZ,0.9962074512341766
MEANJZD,0.8473697642180248
MEANSHR,0.2971399816582318
SAVNCPP,0.16376418881036447
