Feature,Score
TOTUSJZ_MEDIAN,344.65171162437895
TOTUSJH_MIN,294.8283930831567
TOTUSJH_MAX,287.4488970164127
TOTUSJH_KURTOSIS,248.30578780758933
TOTUSJH_MEAN,243.316652669321
TOTUSJH_MEDIAN,242.86597123463375
TOTUSJH_STDDEV,188.18442164149627
TOTUSJH_SKEW,168.22623115756556
TOTBSQ_STDDEV,139.67859261528255
TOTBSQ_MEAN,113.70625499550627
TOTBSQ_MAX,109.00186985301144
TOTBSQ_MEDIAN,86.26212255460297
TOTBSQ_SKEW,82.31965036636527
TOTBSQ_MIN,54.505673675751794
TOTBSQ_KURTOSIS,15.462583824499998
TOTUSJZ_MIN,13.89117747754907
TOTPOT_MEAN,13.363606256491888
TOTPOT_MAX,9.875985449638868
TOTPOT_SKEW,7.126877976283499
TOTPOT_MEDIAN,5.862675170162622
TOTPOT_MIN,4.468286188477367
TOTUSJZ_MEAN,2.3294172842713246
TOTPOT_KURTOSIS,0.5867290488122674
TOTPOT_STDDEV,0.47859914142089727
