Feature,Score
TOTUSJH,0.5061446880794875
TOTBSQ,0.11330073900578252
R_VALUE,0.10337592587613464
TOTUSJZ,0.0956454013096164
TOTFX,0.08909209313255051
TOTFY,0.08212456740317542
EPSY,0.07171552731178688
USFLUX,0.0632652998885761
MEANPOT,0.04125116367157444
EPSX,0.03771147696221844
MEANSHR,0.03396595069679309
SHRGT45,0.033019667543106035
SAVNCPP,0.017099275721234264
MEANJZD,0.016229238099693788
MEANJZH,0.015237552436925927
MEANGAM,0.014497334887206836
EPSZ,0.012861527505801273
MEANGBT,0.01195243868448248
MEANALP,0.010050209391013976
MEANGBH,0.008687194752377447
TOTFZ,0.00794818322520463
ABSNJZH,0.0069448669241638505
TOTPOT,0.0004987822919813034
MEANGBZ,0.00045508761184587243
