Feature,Score
TOTFX,0.13850341114785822
TOTUSJZ,0.11689334526638401
TOTFY,0.11277387710439672
TOTBSQ,0.10479220841468276
EPSY,0.10478130176175673
R_VALUE,0.1038819454056845
EPSX,0.07351946019294152
MEANJZH,0.05171378538947962
USFLUX,0.045844013464942976
MEANPOT,0.028348927670936566
SAVNCPP,0.02627563214406445
MEANJZD,0.020018762224353875
SHRGT45,0.01896780917815157
MEANSHR,0.01679708409653157
ABSNJZH,0.016412277074075388
TOTUSJH,0.0064120121514170325
MEANGAM,0.0033659195768790434
TOTFZ,0.0031434628253648577
EPSZ,0.0030374551815928394
MEANGBH,0.0028707010560715535
TOTPOT,0.0010616580009974533
MEANALP,0.00030716255623592173
MEANGBT,0.00014305036662616748
MEANGBZ,0.00013473774857471755
